state,lga,ward,facility_uid,facility_code,facility_name,facility_level,ownership,longitude,latitude,physical_location,postal_address,hours_of_operation,hiv_capable,details
Abia,Aba North,Ariaria,48319756,01/01/1/1/2/0001,Aba Holy Wounds Hospital,Secondary,Private,7.34134,5.11445,,,,,View
Abia,Aba North,Ariaria,63964073,01/01/1/1/2/0012,Chidima Hospital,Primary,Private,,,,,,,View
Abia,Aba North,Ariaria,26456575,01/01/1/1/2/0025,Euna Hospital,Secondary,Private,7.35312,5.12019,,,,,View
Abia,Aba North,Ariaria,73938255,01/01/1/1/2/0030,Goodness & Mercy hospital,Secondary,Private,7.34552002,5.115905762,,,,,View
Abia,Aba North,Ariaria,40844348,01/01/1/1/2/0031,Green Land Hospital,Primary,Private,,,,,,,View
Abia,Aba North,Ariaria,45969224,01/01/1/1/2/0041,Ivory Specialist Hospital Maternity,Secondary,Private,7.340881347,5.113891602,,,,,View
Abia,Aba North,Ariaria,52126396,01/01/1/1/2/0044,Land Mark Hospital,Primary,Private,7.337890625,5.107910156,,,,,View
Abia,Aba North,Ariaria,78689244,01/01/1/1/2/0049,New Lead Hospital,Primary,Private,7.34401745,5.1183694,,,,,View
Abia,Aba North,Ariaria,61180169,01/01/1/1/2/0054,Nnadozie Hospital/ Maternity,Secondary,Private,7.358399034,5.118716955,74 okwu avenue off faul k  rd,,,,View
Abia,Aba North,Ariaria,73862809,01/01/1/1/1/0019,Powerline Health Post,Primary,Public,,,,,,,View
Abia,Aba North,Ariaria,78576911,01/01/1/1/1/0023,Ukwumango Health Post,Primary,Public,,,,,,,View
Abia,Aba North,Ariaria,71707167,01/01/1/1/1/0026,Umuneator Health Post,Primary,Public,,,,,,,View
Abia,Aba North,Ariaria,42789169,01/01/1/1/1/0028,Umunneato Health Post,Primary,Public,7.36078,5.12162,,,,,View
Abia,Aba North,Asa-Okpulor,37712654,01/01/1/1/1/0006,Asa-Okpulor II Health Centre,Primary,Public,,,,,,,View
Abia,Aba North,Asa-Okpulor,45782504,01/01/1/1/1/0005,Asaokpulor1 PHC,Primary,Public,7.33015,5.07329,,,,,View
Abia,Aba North,Asaokpuaja,14064567,01/01/1/1/1/0004,Asaokpuaja Health Post,Primary,Public,7.3741,5.0768,,ASAOKPUAJA COMMUNITY,,,View
Abia,Aba North,Asaokpuaja,25705792,01/01/1/1/2/0007,Berma Hospital,Secondary,Private,7.348876953,5.107299805,Eze Asonyes palace,BEHIND ASONYES  PALACE,,,View
Abia,Aba North,Eugene,24234577,01/01/1/1/2/0024,St Eugene Health Post,Primary,Private,,,,,,,View
Abia,Aba North,Eziama,85469631,01/01/1/1/1/0008,Eziama Primary Health Centre,Primary,Public,7.364501953,5.127929688,,ABA NORTH L G A,,,View
Abia,Aba North,Industrial,66904818,01/01/1/1/2/0038,Industrial Health Post,Primary,Public,7.3702,5.1236,,INSIDE  RAILWAY LINE,,,View
Abia,Aba North,Ogbor 1,77536737,01/01/1/2/2/0009,Gods Care Hospital,Secondary,Private,,,,,,,View
Abia,Aba North,Ogbor 1,66479648,01/01/1/1/2/0037,Impact Hospital,Secondary,Private,7.38946,5.11821,,,,,View
Abia,Aba North,Ogbor 1,37372783,01/01/1/1/2/0040,isaac okwuonu memorial hospital /maternity,Secondary,Private,7.392089844,5.11328125,,127b ik0t ekpene road ogbor hill,,,View
Abia,Aba North,Ogbor 1,29605722,01/01/1/1/2/0045,Living Word Hospital,Primary,Private,7.391296387,5.113708496,,,,,View
Abia,Aba North,Ogbor 1,76956340,01/01/1/1/2/0052,Nissi Hospital,Secondary,Private,7.38187,5.12165,,no 56b umuola road ogbor hill,,,View
Abia,Aba North,Ogbor 1,70987597,01/01/1/1/2/0085,Zikora h Hospital,Secondary,Private,7.389892578,5.114318848,,,,,View
Abia,Aba North,Ogbor 2,45827382,01/01/1/1/2/0009,Blessed heaven hospital,Secondary,Private,07.38119,05.12047,,no 50 umuoba road ogbor hjll,,,View
Abia,Aba North,Ogbor 2,42040526,01/01/1/1/2/0020,Ebenma Hospital,Secondary,Private,7.384094238,5.11730957,ogbor hill aba,,,,View
Abia,Aba North,Ogbor 2,70718241,01/01/1/1/2/0022,Ellion Hospital clinic,Secondary,Private,7.38138,5.12081,,,,,View
Abia,Aba North,Ogbor 2,69214892,01/01/1/1/2/0023,Emmanuel Hospital,Primary,Private,,,,,,,View
Abia,Aba North,Ogbor 2,80918309,01/01/1/1/2/0032,Group Medical Practice/maternity,Secondary,Private,7.393676758,5.111694336,,no 1 emeuchy close azuka,,,View
Abia,Aba North,Ogbor 2,36926333,01/01/1/1/2/0057,Ogbor Hill Clinic,Primary,Public,7.387329102,5.113525391,,OGBOR HALL,,,View
Abia,Aba North,Ogbor 2,16779098,01/01/1/1/2/0064,Pepple'S Road Clinic,Primary,Public,7.36798,5.13511,,,,,View
Abia,Aba North,Ogbor 2,65557962,01/01/1/2/2/0025,Reagents specialist hospital /maternity,Secondary,Private,7.23483,5.06762,,106 ikot ekpere road,,,View
Abia,Aba North,Old GRA,38145837,01/01/1/1/2/0004,Angels of Mercy Hospital,Secondary,Private,7.354919433,5.124084473,,,,,View
Abia,Aba North,Old GRA,81463501,01/01/1/1/2/0006,Austin Graces Hospital,Secondary,Private,7.362670899,5.117126465,,,,,View
Abia,Aba North,Old GRA,69230910,01/01/1/1/2/0016,chinwendu clinic and maternity,Secondary,Private,7.33960,5.12943,,,,,View
Abia,Aba North,Old GRA,85491400,01/01/1/1/2/0021,El-Asamen Hospital,Secondary,Private,7.358886719,5.120483398,,115 okigwe road aba,,,View
Abia,Aba North,Old GRA,60524341,01/01/1/1/2/0027,Family Health Clinic,Primary,Private,7.35503712,5.12619172,,,,,View
Abia,Aba North,Old GRA,72779055,01/01/1/2/2/0086,king well hospital and maternity,Secondary,Private,7.35807,5.12678,,26 brass road aba,,,View
