id,state,lga,facility_name
1,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,hinonyerem Hospital
2,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,entral Medical Centre
3,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,ortune Uchechukwu Health Centre
4,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,lifford University Medical
5,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,ter (SDA Church)
6,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Mirian & Ralph Hospital Limited
7,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Gods Care Hospital
8,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Roland Alozie Hospital & Maternity 1
9,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Gabriel's Hospital
10,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Roland Hospital Omoba
11,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Central Hospital Owerrinta
12,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,St Simon Hospital
13,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Theresa Orisin Hospital
14,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,St Charles Hospital
15,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Ivory Medical Clinic & Maternity
16,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Zennith Hospital
17,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Vene-Lara Medical Hospital
18,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Favour Clinic & Maternity
19,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Anglican Hospital & Maternity
20,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Christ De King Hospital
21,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Halo Hospital
22,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,Ebenezer Hospital & Maternity
23,Abia,Umuahia North/Isiala-Ngwa South/Isiala-Ngwa North/Umuahi South/Ikwuano/Umunneochi,St Anthony's Catholic Hospital
24,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Springs Clinic
25,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Dr Onyejiaka Memorial Clinic & Maternity
26,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Victory Christain Hospital
27,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,New Era Specialist Hospital
28,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Sharma Hospital
29,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Mendel Hospital
30,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Clehanson Hospital
31,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Faith Foundation Hospital
32,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,St Anthony's Hospital
33,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Agu Specialist Hospital
34,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Todac Specialist Hospital
35,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Emschel Clinic & Maternity
36,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,St Josephs Catholic Hospital
37,Abia,Aba South/Ukwa West/Ukwa East/Ugwunagbo/Aba North/Obioma-Ngwa/Osisioma- Ngwa,Our Lady of the Sick Hospital
38,Abia,Aba North,Zikora Hospital
39,Abia,Aba North,Impact Hospital
40,Abia,Aba North,Nissi Foundation Hospital
41,Abia,Aba North,Ivory Specialist Hospital
42,Abia,Aba North,Goodness and Mercy Hospital
43,Abia,Aba North,MC Hospital
44,Abia,Aba North,Berma Hospital
45,Abia,Aba North,Green Land Hospital
46,Abia,Aba North,Alpha Inland Hospital
47,Abia,Aba North,SDA Hospital
48,Abia,Ohafia/Arochukwu,Uchechukwu Hospital
49,Abia,Ohafia/Arochukwu,Saint Raphael Cottage
50,Abia,Ohafia/Arochukwu,Hospital
51,Abia,Ohafia/Arochukwu,St. Anthony's Hospital
52,Abia,Ohafia/Arochukwu,Upon this rock medical centre
53,Abia,Ohafia/Arochukwu,Mercy Catholic Hospital
54,Abia,Ohafia/Arochukwu,Ucheoma Medical Clinic
55,Abia,Ohafia/Arochukwu,Mben Health Services Hospital
56,Abia,Ohafia/Arochukwu,Uzondu Poly Clinic
57,Abia,Ohafia/Arochukwu,King of Kings Specialist Hospital
58,Abia,Ohafia/Arochukwu,Oji Memorial Hospital
59,Abia,Ohafia/Arochukwu,GOSHEN Clinic & Maternity
60,Abia,Ohafia/Arochukwu,ACIU Chronic Health Clinic
61,Abia,Bende,Chijike Osogho Memorial 2. Methodist Hospital
62,Abia,Bende,Tochi Hospital and Maternity
63,Abia,Bende,Ijeoma Clinic & Maternity
64,Abia,Bende,Nkechi Cowell Methodist Hospital
65,Abia,Bende,Royal Cross Methodist Hospital
66,Abia,Obingwa,Shalom Clinic and Maternity
67,Abia,Obingwa,Ugom Hospital &Maternity
68,Abia,Obingwa,Royal Link Clinic
69,Abia,Obingwa,Emmanuel Hospital & Maternity
70,Abia,Obingwa,Just Jesus Clinic
71,Abia,Obingwa,Frison Health Foundation Hospital
72,Abia,Obingwa,St. Grace Foundation Hospital
73,Abia,Obingwa,Nkechi Hospital & Maternity
74,Abia,Obingwa,Bishop Afonya Memorial
75,Abia,Obingwa,spital
76,Abia,Obingwa,Nigeria Christian Hospital
77,Abia,Obingwa,agu
78,Abia,Obingwa,SFMH Ofokobe
79,Abia,Obingwa,ABCHMS Hospital Umuafor
80,Abia,Osisioma,Rosevine Hospital
81,Abia,Ugwunagbo/Ukwa East/Ukwa West,Oribis Hospital
82,Abia,Ugwunagbo/Ukwa East/Ukwa West,Janet Memorial Hospital
83,Abia,Ugwunagbo/Ukwa East/Ukwa West,Oleka Hospital & Maternity
84,Abia,Ugwunagbo/Ukwa East/Ukwa West,Calvary Christian Hospital
85,Abia,Ugwunagbo/Ukwa East/Ukwa West,Mount Zion Hospital Osisioma
86,Abia,Ugwunagbo/Ukwa East/Ukwa West,Pepertual Help Hospital and 8. Maternity
87,Abia,Ugwunagbo/Ukwa East/Ukwa West,First Care Hospital
88,Abia,Ugwunagbo/Ukwa East/Ukwa West,Ihunanya Specialist Hospital
89,Abia,Ugwunagbo/Ukwa East/Ukwa West,Bethsaida Hospital
90,Abia,Ugwunagbo/Ukwa East/Ukwa West,Living Word Mission Hospital
91,Abia,Ugwunagbo/Ukwa East/Ukwa West,Nwodaku Memorial Hospital
92,Abia,Ugwunagbo/Ukwa East/Ukwa West,Mount Zion Hospital Ugwunagbo
93,Abia,Ugwunagbo/Ukwa East/Ukwa West,St John Jesus Hospital
94,Abia,Ugwunagbo/Ukwa East/Ukwa West,Tochukwu Hospital & Maternity
95,Abia,Ugwunagbo/Ukwa East/Ukwa West,St Rita Memorial Hospital
96,Abia,Ugwunagbo/Ukwa East/Ukwa West,Presbytherian Comprehensive Health Center
97,Abia,Ugwunagbo/Ukwa East/Ukwa West,Cottage Hospital Azumini
98,Abia,Ugwunagbo/Ukwa East/Ukwa West,St Marks Clinic
99,Abia,Ugwunagbo/Ukwa East/Ukwa West,Father Farm Clinic 1 Obohia
100,Abia,Ugwunagbo/Ukwa East/Ukwa West,Father farm Clinic Ohaodo
101,Abia,Ugwunagbo/Ukwa East/Ukwa West,Stepping Stones Hospital
102,Abia,Ugwunagbo/Ukwa East/Ukwa West,Denokem Hospital
103,Abia,Ugwunagbo/Ukwa East/Ukwa West,Glory of God Hospital
104,Abia,Ugwunagbo/Ukwa East/Ukwa West,Chimstal Hospital
105,Abia,Ugwunagbo/Ukwa East/Ukwa West,RCCG Hospital
106,Adamawa,Demsa,phcc Bille
107,Adamawa,Demsa,phcc Dong
108,Adamawa,Demsa,phcc kedemure
109,Adamawa,Demsa,phcc janawuri
110,Adamawa,Demsa,phcc mararaban Bille
111,Adamawa,Demsa,phcc kpasham
112,Adamawa,Demsa,phcc Bali
113,Adamawa,Demsa,phcc Tagwambali
114,Adamawa,Demsa,phcc Dilli
115,Adamawa,Demsa,phcc Borrong
116,Adamawa,Demsa,General hospital Borrong
117,Adamawa,Demsa,phcc gwamba
118,Adamawa,Demsa,phcc Bilachi
119,Adamawa,Demsa,phcc kpananyagi
120,Adamawa,Demsa,phcc kodomun
121,Adamawa,Demsa,phcc mbula
122,Adamawa,Demsa,phcc Dwam
123,Adamawa,Demsa,phcc Demsa
124,Adamawa,Demsa,phcc sabon gari
125,Adamawa,Demsa,LCCN referral Demsa
126,Adamawa,Demsa,Graceland maternity clinic
127,Adamawa,Demsa,phcc Nassawo Demsa
128,Adamawa,Demsa,phcc Francis Dire memorial clinic
129,Adamawa,Demsa,phcc Tahau
130,Adamawa,Demsa,phcc kona
131,Adamawa,madagali,wuro gayandi MDG
132,Adamawa,madagali,Shuwa Mission
