id,state,lga,facility_name,corrected_facility_name,validated_state
1,Cross river,,H/P EKANG,,
2,Cross river,,H/P AKWA IBAMI,,
3,Cross river,,H/C OWAI,,
4,Cross river,,H/C IKO ESAI,,
5,Cross river,,PHC MMA EFFA,,
6,Cross river,,H/P EKURI,,
7,Cross river,,H/C EFUMKPA,,
8,Cross river,,PHC IKO EKPEREM,,
9,Cross river,,PHC OJOR,,
10,Cross river,,PHC UYANGA,,
11,Cross river,,WEGAN MEDICAL CENTRE,,
12,Cross river,,PHC MFAMOSING,,
13,Cross river,,PHC EKONG ANAKU,,
14,Cross river,,COTTAGE HOSPITAL OBAN,,
15,Cross river,,USY MEDICAL CONSULT,,
16,Cross river,,PHC AWI,,
17,Cross river,,HC NEW EKURI,,
18,Cross river,,HC OBUNG,,
19,Cross river,,PHC AKOR,,
20,Cross river,,PHC OKOM ABRAYA,,
21,Cross river,,PHC OBAN,,
22,Cross river,,PHC OSOMBA,,
23,Cross river,,PHC MBOBUI,,
24,Cross river,,PHC ASABANKA,,
25,Cross river,,PHC IDUNDU,,
26,Cross river,,PHC AKONSOKO,,
27,Cross river,,PHC IKOT EDEM EDO,,
28,Cross river,,PHC IKOT NAKANDA,,
29,Cross river,,PHC IFIANG KING DUKE,,
30,Cross river,,PHC IDEBE,,
31,Cross river,,PHC IKOT OKON IDEM,,
32,Cross river,,PHC IKOT UBA,,
33,Cross river,,PHC IKOT OTU ABASI,,
34,Cross river,,PHC IKOT EDEM NDARAKE,,
35,Cross river,,PHC AKWA IKOT EFFANGHA,,
36,Cross river,,PHC IKOT EKPO,,
37,Cross river,,PHC IKOT ASUQUO EFFIONG ANYE,,
38,Cross river,,H/C ESUK EKPO EYO,,
39,Cross river,,PHC OHONG,,
40,Cross river,,PHC OBUDU URBAN,,
41,Cross river,,PHC UKWEL OBUDU,,
42,Cross river,,PHC ALEGE,,
43,Cross river,,PHC BEBUABI,,
44,Cross river,,PHC OKWOROGUNG,,
45,Cross river,,H/C IBONG,,
46,Cross river,,H/P RANCH RD,,
47,Cross river,,PHC UKPE,,
48,Cross river,,HP UKWERISENG,,
49,Cross river,,Health Post Okambi,,
50,Cross river,,Bebuabong Health Post,,
51,Cross river,,PHC Ufambe Ubang,,
52,Cross river,,PHC Arraru,,
53,Cross river,,Ukpada Health Center,,
54,Cross river,,PHC OLACHOR,,
55,Cross river,,WOMEN H/C OKUKU,,
56,Cross river,,PHC WANAKOM,,
57,Cross river,,CHC WANIHEM,,
58,Cross river,,PHC BIKELE,,
59,Cross river,,PHC ANYUBA,,
60,Cross river,,PHC MFUMA,,
61,Cross river,,H/C OKPODON,,
62,Cross river,,GENERAL HOSPITAL OKPOMA,,
63,Cross river,,PHC Ijiraga,,
64,Cross river,,PHC Anyugbe Igede,,
65,Cross river,,Ezekwe Health Center,,
66,Cross river,,PHC Ebo Ipuole,,
67,Cross river,,PHC Echumoga,,
68,Cross river,,PHC Gabu,,
69,Cross river,,PHC EKUREKU,,
70,Cross river,,PHC EDIBA,,
71,Cross river,,PHC ADADAMA,,
72,Cross river,,PHC IMABANA,,
73,Cross river,,PHC USUMUTONG,,
74,Cross river,,PHC AFAFANYI,,
75,Cross river,,PHC EBOM,,
76,Cross river,,PHC EGBORENYI,,
77,Cross river,,PHC ANONG,,
78,Cross river,,PHC IKPALEGWA,,
79,Cross river,,H/P EBOKWO,,
80,Cross river,,H/C ISONG INYANG,,
81,Cross river,,PHC NGARABE,,
82,Cross river,,Eja memorial,,
83,Cross river,,PHC MBARAKOM,,
84,Cross river,,PHC NSAN,,
85,Cross river,,PHC OLD NETIM,,
86,Cross river,,PHC ANINGEJE,,
87,Cross river,,H/C IWURU CENTRAL,,
88,Cross river,,PHC IKOT OFFIONG AMBAI,,
89,Cross river,,PHC IKANG,,
90,Cross river,,PHC ESIGHI,,
91,Cross river,,PHC ABAKPA,,
92,Cross river,,PHC IFIANG AYONG,,
93,Cross river,,PHC IFIANG NSUNG,,
94,Cross river,,H/C NSIDUNG,,
95,Cross river,,H/C ABAKPA,,
96,Cross river,,PHC INE-ABASI,,
97,Cross river,,MPHC ABUOCHICHE,,
98,Cross river,,PHC GAKEM,,
99,Cross river,,PHC UKPAH,,
100,Cross river,,PHC OKPECHE,,
101,Cross river,,"GENERAL HOSPITAL, BEKWARRA",,
102,Cross river,,PHC UGBORO,,
103,Cross river,,PHC NYANYA,,
104,Cross river,,PHC OCHAGBE,,
105,Cross river,,PHC UKPADA,,
106,Cross river,,PHC IBIARAGIDI,,
107,Cross river,,PHC BETEN,,
108,Cross river,,PHC ABUAGBOR UKUM,,
109,Cross river,,PHC INE-ABASI,,
110,Cross river,,COTTAGE HOSPITAL AKPET CENTRAL,,
111,Cross river,,PHC BIAKPAN,,
112,Cross river,,PHC IKOT OKPORA,,
113,Cross river,,PHC ADIM,,
114,Cross river,,"NIGERIA CORRECTION SERVICE, ADIM",,
115,Cross river,,PHC ABINI,,
116,Cross river,,PHC IWURU,,
117,Cross river,,PHC IJOM ABAYONG,,
118,Cross river,,PHC UMON ISLAND,,
119,Cross river,,PHC IKUN,,
120,Cross river,,H/C BETEM,,
121,Cross river,,ABARIBA H/C,,
122,Cross river,,H/C OKURIKE,,
123,Cross river,,PHC ABANWAN,,
124,Cross river,,cHC BATERIKO,,
125,Cross river,,H/C Ntamante,,
126,Cross river,,H/C Kakwagom,,
127,Cross river,,H/C Wula,,
128,Cross river,,PHC Ogep Osokom,,
129,Cross river,,PHC Agba Osokom,,
130,Cross river,,PHC OKUBUCHI,,
131,Cross river,,PHC ENYI BOJIE,,
132,Cross river,,PHC BOJE,,
133,Cross river,,CHC BATERIKO,,
134,Cross river,,PHC KATCHUAN IRRUAN,,
135,Cross river,,PHC Abo-Ebam,,
136,Cross river,,PHC Kakwe Beebo,,
137,Cross river,,HC Bokalum,,
138,Cross river,,PHC Njua Bano,,
139,Cross river,,PHC Iso Bendeghe,,
140,Cross river,,H/C Ebam Borum,,
141,Cross river,,PHC Kakubok,,
142,Cross river,,PHC Bansan,,
143,Cross river,,PHC KATCHE,,
144,Cross river,,PHC OLUM,,
145,Cross river,,PHC NSADOP,,
146,Cross river,,PHC BASHUA,,
147,Cross river,,PHC AB0 OGBAGANTE,,
148,Cross river,,PHC ORIMEKPANG,,
149,Cross river,,PHC BUMAJI,,
150,Cross river,,PHC BUNYIA IRRUAN,,
151,Cross river,,PHC OBUBRA BANSAN,,
152,Cross river,,PHC KANYANG,,
153,Cross river,,PHC Bawop,,
154,Cross river,,PHC Okubushuyu,,
155,Cross river,,PHC KATABA,,
156,Cross river,,FSP EBOK,,
157,Cross river,,HP NKIM,,
158,Cross river,,HC PANYIA,,
159,Cross river,,HP ARANGA,,
160,Cross river,,HC BIAKWAN,,
161,Cross river,,HP DANARE,,
162,Cross river,,PHC BEEBO,,
163,Cross river,,HP AGBA 2,,
164,Cross river,,H/C BANKPOR,,
165,Cross river,,BIAJUA H/C,,
166,Cross river,,H/C BAMBA,,
167,Cross river,,PHC Abu Bonabe,,
168,Cross river,,Health Center Oku-Buanakong,,
169,Cross river,,H/C ORUNGHE,,
170,Cross river,,Dr. Lawrence Henshaw Memorial Hospital,,
171,Cross river,,General Hospital. Calabar,,
172,Cross river,,Nig. Prisons Service,,
173,Cross river,,Sch Health Service Ekpo Abasi,,
174,Cross river,,PHC Anantigha,,
175,Cross river,,PHC Uwanse,,
176,Cross river,,H/C Akani Esuk Orok,,
177,Cross river,,CRUTECH M/C Calabar south,,
178,Cross river,,UCTH,,
179,Cross river,,H/C NELSON MANDELLA,,
180,Cross river,,PHC ANDERSON,,
181,Cross river,,PHC HENSHAW TOWN,,
182,Cross river,,PHC ESIEREBOM,,
183,Cross river,,APOSTOLIC CLINIC BEECROFT,,
184,Cross river,,FHC Moore Road,,
185,Cross river,,NYSC/IBHC,,
186,Cross river,,TBL MOORE ROAD,,
187,Cross river,,POLICE CLINIC,,
188,Cross river,,"NIGERIA NAVY HOSPITAL, CALABAR",,
189,Cross river,,PHC IKOT ANSA,,
190,Cross river,,UNICAL MEDICAL CENTRE,,
191,Cross river,,PHC BIG QUA,,
192,Cross river,,PHC IKOT OMIN,,
193,Cross river,,PHC EDIBA,,
