id,state,lga,facility_name,corrected_facility_name,validated_state
1,Ekiti,EFON,Subeb Model Clinic,Oye Subeb Clinic,Ekiti
2,Ekiti,EKITI EAST,Bhc Araromi Ugboesi,,
3,Ekiti,EKITI EAST,Bhc Eda Ile,,
4,Ekiti,EKITI EAST,"BHC Ijero, Omuo",,
5,Ekiti,EKITI EAST,BHC Ikun/Araromi,,
6,Ekiti,EKITI EAST,BHC Ilasa,,
7,Ekiti,EKITI EAST,BHC Iludofin,,
8,Ekiti,EKITI EAST,BHC Isaya Kota,,
9,Ekiti,EKITI EAST,BHC Isinbode,,
10,Ekiti,EKITI EAST,BHC Iworo,,
11,Ekiti,EKITI EAST,BHC Omuo Oke,,
12,Ekiti,EKITI EAST,CHC Ilisa,,
13,Ekiti,EKITI EAST,CHC Kota,,
14,Ekiti,EKITI EAST,CHC Kota 2,,
15,Ekiti,EKITI EAST,CHC Omuo Oke,,
16,Ekiti,EKITI EAST,General Hospital Omuo,Omuo General Hospital,Ekiti
17,Ekiti,EKITI EAST,Model Ilasa,,
18,Ekiti,EKITI SOUTH/WEST,Staff Clinic Omuo Ekiti,Efon Staff Clinic,Ekiti
19,Ekiti,EKITI SOUTH/WEST,Algon C.H.C Ilawe,,
20,Ekiti,EKITI SOUTH/WEST,BHC Aaye,,
21,Ekiti,EKITI SOUTH/WEST,BHC Ifakin Ogotun,,
22,Ekiti,EKITI SOUTH/WEST,BHC Igbaraodo,,
23,Ekiti,EKITI SOUTH/WEST,BHC Ilawe,,
24,Ekiti,EKITI SOUTH/WEST,BHC Ilodo,,
25,Ekiti,EKITI SOUTH/WEST,BHC Oke Emo Ilawe,,
26,Ekiti,EKITI SOUTH/WEST,CHC Adin Ilawe,,
27,Ekiti,EKITI SOUTH/WEST,CHC Adun Ilawe,,
28,Ekiti,EKITI SOUTH/WEST,C.H.C Igbara Odo,Igbara Odo Basic Health Clinic,Ekiti
29,Ekiti,EKITI SOUTH/WEST,CHC Ilawe,,
30,Ekiti,EKITI SOUTH/WEST,CHC Okemi Ogotun,,
31,Ekiti,EKITI SOUTH/WEST,General Hospital Ilawe,General Hospital Ise,Ekiti
32,Ekiti,EKITI SOUTH/WEST,Model Igbaraodo,,
33,Ekiti,EKITI SOUTH/WEST,Model PHC Igbara Odo,,
34,Ekiti,EKITI WEST,Adebayo Medical Clinic,Adebayo Medical Clinic,Ekiti
35,Ekiti,EKITI WEST,BHC Ajebamidele,,
36,Ekiti,EKITI WEST,BHC Alele Aramoko,Chc Aramoko,Ekiti
37,Ekiti,EKITI WEST,BHC Erio,,
38,Ekiti,EKITI WEST,BHC Ikogosi,,
39,Ekiti,EKITI WEST,BHC Ile Ona,,
40,Ekiti,EKITI WEST,BHC Ipole Iloro,,
41,Ekiti,EKITI WEST,BHC Okemesi,,
42,Ekiti,EKITI WEST,BHC Oke Oja Aramoko,,
43,Ekiti,EKITI WEST,CHC Erijiyan,,
44,Ekiti,EKITI WEST,CHC Ido-Ile,,
45,Ekiti,EKITI WEST,CHC Ikogosi,,
46,Ekiti,EKITI WEST,CHC Iwaro Aramoko,Chc Aramoko,Ekiti
47,Ekiti,EKITI WEST,CHC Iwaro Aramoko Ekiti,,
48,Ekiti,EKITI WEST,General Hospital Aramoko,Aramoko General Hospital,Ekiti
49,Ekiti,EKITI WEST,General Hospital Okemesi,Okemesi General Hospital,Ekiti
