id,state,lga,facility_name
1,Imo,OrluOrsuOru WestNjaba,TBL DOTS AMAIFEKE
2,Imo,OrluOrsuOru WestNjaba,IMSUTH DOTS CLINIC
3,Imo,OrluOrsuOru WestNjaba,UMUDIOKA HC
4,Imo,OrluOrsuOru WestNjaba,MGBEE HC
5,Imo,OrluOrsuOru WestNjaba,OBINUGWU HC
6,Imo,OrluOrsuOru WestNjaba,UMUZIKE HC
7,Imo,OrluOrsuOru WestNjaba,ACHARABA HC
8,Imo,OrluOrsuOru WestNjaba,ZINNAH HOSP
9,Imo,OrluOrsuOru WestNjaba,GOVT.MATERNITY CENTRE AND CHISOM HOSP ORLU
10,Imo,OrluOrsuOru WestNjaba,Ebenator HC
11,Imo,OrluOrsuOru WestNjaba,Orsu Ihitte Ukwa hc
12,Imo,OrluOrsuOru WestNjaba,Ihittenasa hc
13,Imo,OrluOrsuOru WestNjaba,Amaruru hc
14,Imo,OrluOrsuOru WestNjaba,Model PHC Amannachi
15,Imo,OrluOrsuOru WestNjaba,MPHCC Orsuihiteukwa
16,Imo,OrluOrsuOru WestNjaba,MCH Awo-Idemili
17,Imo,OrluOrsuOru WestNjaba,New bethel Hosp
18,Imo,OrluOrsuOru WestNjaba,Nansa hc and Eziawa Health Post. TBL DOTS Nnenasa
19,Imo,OrluOrsuOru WestNjaba,Bethsaida Hosp Nkume
20,Imo,OrluOrsuOru WestNjaba,Umuaka Comm.Hosp
21,Imo,OrluOrsuOru WestNjaba,Umuokwara Hc
22,Imo,OrluOrsuOru WestNjaba,Umuka Hc
23,Imo,OrluOrsuOru WestNjaba,Santa Maria Hosp Obinwanne Umuaka
24,Imo,OrluOrsuOru WestNjaba,Egwedu Health center
25,Imo,OrluOrsuOru WestNjaba,isiozi hc
26,Imo,OrluOrsuOru WestNjaba,Ogechi Hosp
27,Imo,OrluOrsuOru WestNjaba,Umuaka Ibele Health post
28,Imo,OrluOrsuOru WestNjaba,Achara Health centre
29,Imo,OrluOrsuOru WestNjaba,Amucha Health centre
30,Imo,OrluOrsuOru WestNjaba,Amakor HC
31,Imo,Owerri Municipal Mbatoli,ORLU RD TBL CLINIC
32,Imo,Owerri Municipal Mbatoli,TBL DOTS OW- MUNICIPAL
33,Imo,Owerri Municipal Mbatoli,FED PRISONS OW. UMEZURUIKE HOSP. AREA M PHC OW. NIG POLICE CLINIC AMAKOHIA
34,Imo,Owerri Municipal Mbatoli,ST.DAVIDS HOSP
35,Imo,Owerri Municipal Mbatoli,EZEM MEDICAL CENTRE
36,Imo,Owerri Municipal Mbatoli,ST LUKES REFERAL CENTRE UZII
37,Imo,Owerri Municipal Mbatoli,IMSU MED CENTRE
38,Imo,Owerri Municipal Mbatoli,IKECHI CLINIC & MAT
39,Imo,Owerri Municipal Mbatoli,ST JOSEPH HOSP
40,Imo,Owerri Municipal Mbatoli,AKARUGO HOSP
41,Imo,Owerri Municipal Mbatoli,CHIDICON HOSP
42,Imo,Owerri Municipal Mbatoli,CHINYERE CLINIC & MAT
43,Imo,Owerri Municipal Mbatoli,MILKY CONSULTANTS CLINIC
44,Imo,Owerri Municipal Mbatoli,NNAMDI CLINIC
45,Imo,Owerri Municipal Mbatoli,LIFESPRING SP. HOSP
46,Imo,Owerri Municipal Mbatoli,SIX C SPECIALIST
47,Imo,Owerri Municipal Mbatoli,SOLID ROCK
48,Imo,Owerri Municipal Mbatoli,AREA L HC
49,Imo,Owerri Municipal Mbatoli,SALVATION MED LAB
50,Imo,Owerri WestOgutaOhajiEgbema,UMUGUMA HC
51,Imo,Owerri WestOgutaOhajiEgbema,BINASCO HOSP. IRETTE
52,Imo,Owerri WestOgutaOhajiEgbema,OROGWE HC
53,Imo,Owerri WestOgutaOhajiEgbema,IRETE HC
54,Imo,Owerri WestOgutaOhajiEgbema,NDEGWU HC
55,Imo,Owerri WestOgutaOhajiEgbema,OFOROLA HC
56,Imo,Owerri WestOgutaOhajiEgbema,STAFF CLINIC UMUGUMA
57,Imo,Owerri WestOgutaOhajiEgbema,OKUKU HC
58,Imo,Owerri WestOgutaOhajiEgbema,OHII WEST HC
59,Imo,Owerri WestOgutaOhajiEgbema,LORDAF HOSP
60,Imo,Owerri WestOgutaOhajiEgbema,SANTIO GEOGIO HOSP
61,Imo,Owerri WestOgutaOhajiEgbema,PULIC HEALTH LAB
62,Imo,Owerri WestOgutaOhajiEgbema,EJIM MEDICALS
63,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",JOINT HOSP
64,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",TBLDOTS UMUELEMAI
65,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",ALADINMA COMM HOSP AMAUZARI
66,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",OKOHIA MODEL HC
67,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",IMSUTH ANNEX ANARA
68,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",ST MARY HOSP UMUNNACHI
69,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",OBOLLO HC
70,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",IBEME HEALTH
71,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",AMARAKU HC
72,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",T EMMANUAL HOSP
73,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",TBL DOTS ONUIMO
74,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",OKOHIAUMUDURU HC
75,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",ST. JOSEPH HOSP OKWELLE
76,Imo,"Isiala Mbano, Nwangele, Obowo, Ezinihitte",UMUNA HC
