id,state,lga,facility_name
1,Katsina,BAKORI,CHC BAKORI
2,Katsina,BAKORI,PHC TSIGA
3,Katsina,BAKORI,PHC JARGABA
4,Katsina,BAKORI,PHC GUGA
5,Katsina,BAKORI,PHC KAKUMI
6,Katsina,BAKORI,HC 'YANKWANI
7,Katsina,BAKORI,HC DUTSEN REME
8,Katsina,BAKORI,HC NABUKKA
9,Katsina,BAKORI,HC MARABAR DANJA
10,Katsina,BAKORI,HC SHUWAKI
11,Katsina,BAKORI,BAKORI CLINIC
12,Katsina,BAKORI,AFUWA CLINIC
13,Katsina,BAKORI,A'ISHATU MEMORIAL CLINIC
14,Katsina,BAKORI,HC MAKURDI
15,Katsina,BAKORI,HC LAYIN KUKA
16,Katsina,BAKORI,HC LAYIN RAMA
17,Katsina,BAKORI,DOMINION CLINIC TSIGA
18,Katsina,BAKORI,JSA CLINIC
19,Katsina,BAKORI,HC ADAKO
20,Katsina,BAKORI,HC DANGANA
21,Katsina,BAKORI,HC YANSHUNI
22,Katsina,BAKORI,HC SARKIN BAKA
23,Katsina,BAKORI,HC LAYIN KUKA
24,Katsina,BAKORI,HC GIDAN BAKORI
25,Katsina,BAKORI,HC RUWAN KUDI
26,Katsina,BAKORI,HC TAMARKE
27,Katsina,BAKORI,HC LAYIN LIMAN
28,Katsina,BAKORI,HC BARDE
29,Katsina,BATAGARAWA,NOFIC BABBAR RUGA
30,Katsina,BATAGARAWA,CHC BATAGARAWA
31,Katsina,BATAGARAWA,GARSH HOSPITAL
32,Katsina,BATAGARAWA,PHC AJIWA
33,Katsina,BATAGARAWA,MCHC BAKIYAWA
34,Katsina,BATAGARAWA,MCHC DANDAGORO
35,Katsina,BATAGARAWA,HC ALALE
36,Katsina,BATAGARAWA,MCHC KAYAUKI
37,Katsina,BATAGARAWA,HC MAILALLE
38,Katsina,BATAGARAWA,MCHC DABAIBAYAWA
39,Katsina,BATAGARAWA,MCHC BARAWA
40,Katsina,BATAGARAWA,PHC JINO
41,Katsina,BATAGARAWA,MCHC TSANNI
42,Katsina,BATAGARAWA,MCHC YARGAMJI
43,Katsina,BATAGARAWA,MCHC SHAGUMBA
44,Katsina,BATSARI,GH BATSARI
45,Katsina,BATSARI,MCHC BATSARI
46,Katsina,BATSARI,CHC WAGINI
47,Katsina,BATSARI,HC DANKAR
48,Katsina,BATSARI,HC MALLAMAWA
49,Katsina,BATSARI,PHC KARARE
50,Katsina,BATSARI,HC K/TORO
51,Katsina,BATSARI,HC DANGEZA
52,Katsina,BATSARI,HC WATANGADIYA
53,Katsina,BATSARI,HC SHIRGI
54,Katsina,BATSARI,PHC RUMAH
55,Katsina,BATSARI,MCHC MADADDABAI
56,Katsina,BATSARI,HC NAHUTA
57,Katsina,BATSARI,HC KOKIYA
58,Katsina,BATSARI,HC MAIDURINYA
59,Katsina,BATSARI,HC KURMIYAL
60,Katsina,BATSARI,HC DAGURAWA
61,Katsina,BATSARI,PHC KANDAWA
62,Katsina,BATSARI,HC DADIN KOWA
63,Katsina,BATSARI,MCH TSABAU
64,Katsina,BATSARI,HC TSUGUNNI
65,Katsina,BATSARI,HC DUBA
66,Katsina,BAURE,GH Baure
67,Katsina,BAURE,CHC Babban Mutum
68,Katsina,BAURE,MCH Yanduna
69,Katsina,BAURE,MPHC Garki
70,Katsina,BAURE,MCH HUI
71,Katsina,BAURE,PHC maibara
72,Katsina,BAURE,PHC Tumfushi
73,Katsina,BAURE,MPHC
74,Katsina,BAURE,PHC Achakwale
75,Katsina,BAURE,HC Kokiya
76,Katsina,BAURE,Daurawa HC
77,Katsina,BAURE,HC NAHUTA
78,Katsina,BAURE,HC SHIRGI
79,Katsina,BAURE,HC MAIDORIYA
80,Katsina,BAURE,PHC Maibara
81,Katsina,BAURE,MCHC Unguwar Isa
82,Katsina,BAURE,HC UNG RAI
83,Katsina,BAURE,HC MAZARE
84,Katsina,BAURE,PHC UNGUWAR ISA
85,Katsina,BINDAWA,CHC BINDAWA
86,Katsina,BINDAWA,MPHC TAMA
87,Katsina,BINDAWA,PHC DORO
88,Katsina,BINDAWA,MDGS SHIBDAWA
89,Katsina,BINDAWA,MPHC DALLAJE
90,Katsina,BINDAWA,MPHC YANGORA
91,Katsina,BINDAWA,MCHC KAMRI
92,Katsina,BINDAWA,MCHC JIBAWA
93,Katsina,BINDAWA,HC K/JUGO
94,Katsina,BINDAWA,HC FARU
95,Katsina,CHARANCHI,CHC CHARANCHI
96,Katsina,CHARANCHI,PHC RADDA
97,Katsina,CHARANCHI,PHC TSAKATSA
98,Katsina,CHARANCHI,MPHC BANYE
99,Katsina,CHARANCHI,PHC MAJENWAYYA WAYYA
100,Katsina,CHARANCHI,MPHC GANUWA
101,Katsina,CHARANCHI,MCHC CHARANC
102,Katsina,CHARANCHI,PHC KADANYA
103,Katsina,CHARANCHI,PHC YARMALAMAI
104,Katsina,CHARANCHI,PHC BAGGA
105,Katsina,CHARANCHI,CHARANCHI MATERNITY CLINIC
106,Katsina,CHARANCHI,PHC KURAYE
107,Katsina,CHARANCHI,PHC SALGORIYO
108,Katsina,CHARANCHI,MPHC DOKA
109,Katsina,CHARANCHI,PHC KODA
110,Katsina,CHARANCHI,MCHC Gwanza
111,Katsina,CHARANCHI,R/Baushe Dispensary
112,Katsina,CHARANCHI,MCHC Giremawa
