id,state,lga,facility_name
1,Kogi,AJAOKUTA,PHC OKUBANYI
2,Kogi,AJAOKUTA,PHC EBIYA
3,Kogi,AJAOKUTA,ASCL AJAOKUTA
4,Kogi,AJAOKUTA,PHC EMIWORO
5,Kogi,AJAOKUTA,CHC GEREGU
6,Kogi,AJAOKUTA,GANAJA MEDICALS
7,Kogi,AJAOKUTA,PHC INNAYERE
8,Kogi,AJAOKUTA,PHC APANKO
9,Kogi,AJAOKUTA,PECULIAR HOSPITAL GANAJA
10,Kogi,AJAOKUTA,UNIQUE CLINIC AJAOKUTA
11,Kogi,AJAOKUTA,PHC PATESI
12,Kogi,AJAOKUTA,LARONK CLINIC AJAOKUTA
13,Kogi,AJAOKUTA,PHC ADU
14,Kogi,AJAOKUTA,PHC OGIGIRI
15,Kogi,AJAOKUTA,PHC UPOROKO
16,Kogi,AJAOKUTA,PHC GEREGU
17,Kogi,AJAOKUTA,PHC ODONU
18,Kogi,AJAOKUTA,PHC ADOGO
19,Kogi,AJAOKUTA,COVENANT CLINIC AJAOKUTA
20,Kogi,KOGI,PHC BADOKO
21,Kogi,KOGI,GH KOTON KARFE
22,Kogi,KOGI,FSP KOTON KARFE
23,Kogi,KOGI,PHC AHOKO
24,Kogi,KOGI,MCH GEGU BEKI
25,Kogi,KOGI,PHC SEREGAMA
26,Kogi,KOGI,PHC GEGU
27,Kogi,KOGI,PHC ACHABO
28,Kogi,KOGI,PHC ADABO
29,Kogi,KOGI,PHC ODAH
30,Kogi,KOGI,ECWA CLINIC OREHI
31,Kogi,KOGI,KOTO PRISON
32,Kogi,KOGI,PHC CHIKAKA
33,Kogi,KOGI,PHC GIRINYAN
34,Kogi,OFU,HMH OCHADAMU
35,Kogi,OFU,CHC ALLOMA
36,Kogi,OFU,PHC UGWOLAWO
37,Kogi,OFU,PHC ITOBE
38,Kogi,OFU,MPHCC ITOBE
39,Kogi,OFU,PHC EJULE
40,Kogi,OFU,PHC UMOMI
41,Kogi,OFU,PHC OWOWOLO
42,Kogi,OFU,GH UGWOLAWO
43,Kogi,OFU,SALAM CLINIC UGWOLAWO
44,Kogi,OFU,PHC OJUWOCHA
45,Kogi,OFU,IKEBE CLINIC
46,Kogi,IGALAMELA,PHC AJAKA
47,Kogi,IGALAMELA,PHC ODOLU
48,Kogi,IGALAMELA,PHC OGBOGBO
49,Kogi,IGALAMELA,PHC OFORACHI
50,Kogi,IDAH,PHC UNIT IDAH
51,Kogi,IDAH,PHC OFIGI
52,Kogi,IDAH,ZH IDAH
53,Kogi,IDAH,PHC ANGWA
54,Kogi,IDAH,OLMMH IDAH
55,Kogi,IDAH,PHC EDE ALABA
56,Kogi,IDAH,PHC EFULU
57,Kogi,IDAH,NSP DOT
58,Kogi,DEKINA,PAAUTH ANYIGBA
59,Kogi,DEKINA,PHC OGANENIGWU
60,Kogi,DEKINA,GRIMARD HOSPITAL ANYIGBA
61,Kogi,DEKINA,MARIA GORETTI HOSPITAL ANYIGBA
