id,state,lga,facility_name
1,Rivers,Abua_Odual,AGADA 1 MPHC
2,Rivers,Abua_Odual,AMINIGBOKO CHC
3,Rivers,Abua_Odual,EBBOLOM MPHC
4,Rivers,Abua_Odual,ANYU MPHC
5,Rivers,Abua_Odual,OTAPHA H/C
6,Rivers,Abua_Odual,ARUKWO H/F
7,Rivers,Abua_Odual,OGONOKOM H/P
8,Rivers,Abua_Odual,IYAK H/F
9,Rivers,Abua_Odual,EMESU H/C
10,Rivers,Abua_Odual,AMINIOINERE H/C
11,Rivers,Abua_Odual,OBARANY H/F
12,Rivers,Abua_Odual,OKOBOH H/F
13,Rivers,Abua_Odual,EMELEGO MPHC
14,Rivers,Abua_Odual,ODUA H/F
15,Rivers,Abua_Odual,ADIADIA H/C
16,Rivers,Abua_Odual,OGBOLOMA H/F
17,Rivers,Abua_Odual,EMAGO H/F
18,Rivers,Abua_Odual,OKOLOMADE H/C
19,Rivers,Abua_Odual,OGBEMA MPHC
20,Rivers,Abua_Odual,EMIRIPOKO H/C
21,Rivers,Abua_Odual,AMURUTO H/C
22,Rivers,Abua_Odual,AKANI H/F
23,Rivers,Ahoada East,EDEOHA
24,Rivers,Ahoada East,ODIABIDI
25,Rivers,Ahoada East,ULA-UPATA
26,Rivers,Ahoada East,OCHIAGBA
27,Rivers,Ahoada East,PRISONS
28,Rivers,Ahoada East,IHUOWO
29,Rivers,Ahoada East,OGBELE
30,Rivers,Ahoada East,IHUAJE
31,Rivers,Ahoada East,OKPOROWO
32,Rivers,Ahoada East,ABARIKPO H/C
33,Rivers,Ahoada East,ODIEMUDIE H/C
34,Rivers,Ahoada East,ULA-EHUDA MPHC
35,Rivers,Ahoada East,MPHCC IHUAMA
36,Rivers,Ahoada East,OGBO H/C
37,Rivers,Ahoada East,IHUABA H/C
38,Rivers,Ahoada East,Old Comphensive health center Ahoada
39,Rivers,Ahoada East,Odiajie MPHC
40,Rivers,Ahoada East,POLICE CLINIC
41,Rivers,Ahoada East,ODIEMEREYIE HC
42,Rivers,Ahoada West,MPHC ODIEREKE
43,Rivers,Ahoada West,ODAKWU H/F
44,Rivers,Ahoada West,ULA UBIE
45,Rivers,Ahoada West,EBIRIBA H/F
46,Rivers,Ahoada West,UBIO
47,Rivers,Ahoada West,UBARAMA H/C
48,Rivers,Ahoada West,ODIAKU H/C
49,Rivers,Ahoada West,GH JOIN KRAMA
50,Rivers,Ahoada West,EDAGBERI
51,Rivers,Ahoada West,MBIAMA H/C
52,Rivers,Ahoada West,OSHIE H/F
53,Rivers,Ahoada West,OKARKI
54,Rivers,Ahoada West,MPHC IKODI
55,Rivers,Ahoada West,IGOVIA H/F
56,Rivers,Ahoada West,IDU H/F
57,Rivers,Ahoada West,UKPELIEDE H/F
58,Rivers,Ahoada West,AKIOGBOLOGBO HC
59,Rivers,Ahoada West,OGBOGOLO H/F
60,Rivers,Ahoada West,OGBEDE H/F
61,Rivers,Ahoada West,EMESHI H/C
62,Rivers,Ahoada West,OYIGBA
63,Rivers,Ahoada West,UPATABO H/F
64,Rivers,Akuku Toru,OBONOMA
65,Rivers,Akuku Toru,MPHC IDAMA
66,Rivers,Akuku Toru,MPHC SOKU
67,Rivers,Akuku Toru,ELEMUSAGAMA H/C
68,Rivers,Akuku Toru,MPHC ABISSA
69,Rivers,Akuku Toru,GENERAL HOSPITAL ABONNEMA
70,Rivers,Akuku Toru,MPHC KULA
71,Rivers,Andoni,OYOROKOTO
72,Rivers,Andoni,ILOTOMBI
73,Rivers,Andoni,EGWEDE
74,Rivers,Andoni,AGWUTU BOLO
75,Rivers,Andoni,UNYAGALA H/C
76,Rivers,Andoni,MPHC ISIODUM
77,Rivers,Andoni,EGENDEM
78,Rivers,Andoni,PHC INYONGORONG
79,Rivers,Andoni,ASARAMA
80,Rivers,Andoni,IWOMA
81,Rivers,Andoni,PHC ASARAMAIJA
82,Rivers,Andoni,PHC IKURU
83,Rivers,Andoni,PHC EKEDE
84,Rivers,Andoni,EGBOMUNG H/C
85,Rivers,Andoni,AGBALAMA H/C
86,Rivers,Andoni,ASUKAMA
87,Rivers,Andoni,EBUKUMA
88,Rivers,Andoni,OKOROBOUE-ILE H/C
89,Rivers,Andoni,IBOTIREM H/C
90,Rivers,Andoni,AJAKAJAK H/C
91,Rivers,Andoni,PHC EGBORMUNG
92,Rivers,Andoni,PHC ATABI
93,Rivers,Andoni,PHC OTUAFUK
94,Rivers,Andoni,PHC ORONIJA
95,Rivers,Asari Toru,ABALAMA
96,Rivers,Asari Toru,MHC IDO
97,Rivers,Asari Toru,KRAKRAMA H/C
98,Rivers,Asari Toru,GENERAL HOSPITAL BUGUMA
99,Rivers,Asari Toru,PHC OPROAMA
100,Rivers,Asari Toru,PHC MINAMA
101,Rivers,Asari Toru,PHC TEMA
102,Rivers,Asari Toru,PHC ANGULAMA
103,Rivers,Asari Toru,IFOKO PHC
104,Rivers,Asari Toru,ILLELEMA PHC
105,Rivers,Asari Toru,SAMA PHC
106,Rivers,Asari Toru,OMEKWEAMA PHC
107,Rivers,Asari Toru,SANGAMA PHC
108,Rivers,Asari Toru,SICK BAY
109,Rivers,Bonny,F.H.C FINIMA
110,Rivers,Bonny,ABALAMABIE MPHCC
111,Rivers,Bonny,Banigo H/C
112,Rivers,Bonny,"Health Post, Halliday"
113,Rivers,Bonny,"General Hospital, Bonny"
114,Rivers,Bonny,Boony Infant Welfare Clinic
115,Rivers,Bonny,Burukiri
116,Rivers,Bonny,Oloma
117,Rivers,Bonny,Dema Abbey H/C
118,Rivers,Bonny,Mphc Peterside
119,Rivers,Degema,CHC DEGEMA
120,Rivers,Degema,OBU AMA
121,Rivers,Degema,OGURAMA
122,Rivers,Degema,USOKUN
123,Rivers,Degema,MPHC BILLE
124,Rivers,Degema,BUKUMA
125,Rivers,Degema,BAKANA H/C
126,Rivers,Eleme,MPHC AGBONCHIA
127,Rivers,Eleme,ALETO H/POST
128,Rivers,Eleme,NCHIA/OGALE HEALTH C
129,Rivers,Eleme,"GENERAL HOSPITAL, ELEME"
130,Rivers,Eleme,ALESA H/POST
131,Rivers,Eleme,Agbeta Health Post
132,Rivers,Eleme,PHC EKPORO
133,Rivers,Eleme,EKARA HEALTH POST
134,Rivers,Eleme,MPHC ETEO
135,Rivers,Eleme,MPHC Onne
136,Rivers,Emohua,PHC IBAA
137,Rivers,Emohua,CHC OMUDIOGA
138,Rivers,Emohua,RUMUAKUNDE HEALTH POST (IWC)
139,Rivers,Emohua,PHC RUMIEWHOR
140,Rivers,Emohua,C.H.C RUMUJI
141,Rivers,Emohua,MPHCC EGBEDA
142,Rivers,Emohua,MPHCC UBIMINI
143,Rivers,Emohua,MPHCC ODUOHA
144,Rivers,Emohua,MPHC AKPABU
145,Rivers,Emohua,ISIODU H/C
146,Rivers,Emohua,ELELE MOBILE CLINIC
147,Rivers,Emohua,INFANT WELRAFE CLINIC
148,Rivers,Emohua,OVOGO HEALTH POST
149,Rivers,Emohua,OBELLE PHC
150,Rivers,Emohua,PHC ELIBBRADA
151,Rivers,Emohua,PHC OGBAKIRI
