id,state,lga,facility_name,corrected_facility_name,validated_state
1,Yobe,GUJBA,Ngurbuwa Maternity and Child Health Clinic,Yusufari Maternity And Child Health Clinic,Yobe
2,Yobe,GUJBA,Nyakire Dispensary,,
3,Yobe,GUJBA,Wagir Model Primary Health Centre,Yusufari Model Primary Health Centre,Yobe
4,Yobe,GUJBA,Wulle Dispensary,,
5,Yobe,GUJBA,Alagarno Health Post,Alagarno Health Post,Yobe
6,Yobe,GEIDAM,Alhajiri Dispensary,,
7,Yobe,GEIDAM,Ashekri Town Dispensary,,
8,Yobe,GEIDAM,Balle Maternal and Child Health Clinic,,
9,Yobe,GEIDAM,Borko Dispensary,,
10,Yobe,GEIDAM,Dagambi Dispensary,,
11,Yobe,GEIDAM,Dajina Dispensary,Dadigar Dispensary,Yobe
12,Yobe,GEIDAM,Damakarwa Dispensary,,
13,Yobe,GEIDAM,Darro Dispensary,,
14,Yobe,GEIDAM,Dilawa Dispensary,Dilawa Dispensary,Yobe
15,Yobe,GEIDAM,Fukurti Dispensary,,
16,Yobe,GEIDAM,Futchimiram Health Clinic,,
17,Yobe,GEIDAM,Geidam General Hospital,General Hospital Geidam,Yobe
18,Yobe,GEIDAM,Geidam Maternity and Child Health Clinic,Gasamu Maternity and Child Health Clinic,Yobe
19,Yobe,GEIDAM,Gumsa Model Primary Health Centre,,
20,Yobe,GEIDAM,Hausari Dispensary,Yakubari Dispensary,Yobe
21,Yobe,GEIDAM,Kelluri Mother and Child Health Centre,,
22,Yobe,GEIDAM,Kindila Dispensary,,
23,Yobe,GEIDAM,Kukawa Dispensary,Kuka Tatawa Dispensary,Yobe
24,Yobe,GEIDAM,Kusur Dispensary,,
25,Yobe,GEIDAM,Lawan Bukarti Dispensary,,
26,Yobe,GEIDAM,Ma'anna Dispensary,,
27,Yobe,GEIDAM,Malari Dispensary,Mairi Dispensary,Yobe
28,Yobe,GEIDAM,Matakuskum Health Clinic,Matakuskum Primary Health Clinic,Yobe
29,Yobe,GEIDAM,Adetona Medical Centre,,
30,Yobe,GEIDAM,Ambiya Dispensary,,
31,Yobe,NGURU,Afunori Clinic,,
32,Yobe,NGURU,Army Barrack Clinic (Nguru),Army Barrack Health Clinic (Nguru),Yobe
33,Yobe,NGURU,Balanguwa Clinic,,
34,Yobe,NGURU,Bombori Clinic,,
